hour,solar_cf,price
1265,0.39475152,23.8
1266,0.151602124,24.8
1267,0.001201731,22.7
1268,0,22.1
1269,0,22
1270,0,23.5
1271,0,23.7
1272,0,26.8
1273,0,32.4
1274,0,33
1275,0,30.5
1276,0,28.5
1277,0,25.1
1278,0,20.9
1279,0.001869163,18.1
1280,0.124216572,17.5
1281,0.333386808,16.1
1282,0.452813162,15.7
1283,0.603204585,15
1284,0.781571094,14.1
1285,0.765719087,13.7
1286,0.755840025,13.7
1287,0.651991404,13.9
1288,0.552448308,14.7
1289,0.367436262,14.8
1290,0.136838476,15.6
1291,0.001340312,16.1
1292,0,14.6
1293,0,15.1
1294,0,15.7
1295,0,17.3
1296,0,19.4
1297,0,20
1298,0,18.8
1299,0,18.4
1300,0,17.5
1301,0,17
1302,0,14.9
1303,0.001307072,13.7
1304,0.094730394,13.8
1305,0.194698065,13.8
1306,0.433548229,14.3
1307,0.673065067,14.9
1308,0.710795058,15.5
1309,0.757156472,16.5
1310,0.657912503,17.1
1311,0.575188566,17.7
1312,0.568700174,18.2
1313,0.360318084,19.9
1314,0.126758739,20.6
1315,0.001714325,20.4
1316,0,18.5
1317,0,17.5
1318,0,18.1
1319,0,20.3
1320,0,22.6
1321,0,24
1322,0,23.5
1323,0,22.5
1324,0,21.4
1325,0,19.5
1326,0,17.2
1327,0.001640098,16.4
1328,0.1450656,17
1329,0.306700587,17.5
1330,0.545589588,17.9
1331,0.536763114,18.6
1332,0.743781437,19.5
1333,0.826618296,20.4
1334,0.799298856,21.1
1335,0.693462643,21.5
1336,0.577407043,21.9
1337,0.371323136,22.9
1338,0.135608568,24.6
1339,0.001298641,22
1340,0,21.4
1341,0,21
1342,0,22.1
1343,0,24.7
1344,0,26.5
1345,0,31
1346,0,32.8
1347,0,32.2
1348,0,29.9
1349,0,26.6
1350,0,21.2
1351,0.002764206,18
1352,0.105944128,17.6
1353,0.214249676,16.2
1354,0.47851874,15
1355,0.625177445,14.4
1356,0.747508282,14
1357,0.794564114,13.2
1358,0.820370236,13.1
1359,0.704979692,12.8
1360,0.545561489,13.3
1361,0.398437561,14.6
1362,0.122445738,15
1363,0.000704442,15.9
1364,0,14.2
1365,0,13.7
1366,0,13.4
